Epoch [1/100], Loss: 2.0604, Accuracy: 23.50%, Time: 13.53 seconds
Epoch [2/100], Loss: 1.6334, Accuracy: 38.27%, Time: 2.40 seconds
Epoch [3/100], Loss: 1.4343, Accuracy: 46.74%, Time: 2.48 seconds
Epoch [4/100], Loss: 1.3221, Accuracy: 51.34%, Time: 2.45 seconds
Epoch [5/100], Loss: 1.1406, Accuracy: 58.33%, Time: 2.44 seconds
Epoch [6/100], Loss: 0.9832, Accuracy: 64.26%, Time: 2.52 seconds
Epoch [7/100], Loss: 0.9225, Accuracy: 66.51%, Time: 2.52 seconds
Epoch [8/100], Loss: 0.8004, Accuracy: 71.40%, Time: 2.47 seconds
Epoch [9/100], Loss: 0.7254, Accuracy: 74.28%, Time: 2.49 seconds
Epoch [10/100], Loss: 0.7018, Accuracy: 75.19%, Time: 2.44 seconds
Epoch [11/100], Loss: 0.6206, Accuracy: 78.17%, Time: 2.50 seconds
Epoch [12/100], Loss: 0.5606, Accuracy: 80.56%, Time: 2.45 seconds
Epoch [13/100], Loss: 0.5289, Accuracy: 81.55%, Time: 2.50 seconds
Epoch [14/100], Loss: 0.4815, Accuracy: 83.23%, Time: 2.45 seconds
Epoch [15/100], Loss: 0.4513, Accuracy: 84.22%, Time: 2.45 seconds
Epoch [16/100], Loss: 0.4121, Accuracy: 85.57%, Time: 2.45 seconds
Epoch [17/100], Loss: 0.3938, Accuracy: 85.92%, Time: 2.48 seconds
Epoch [18/100], Loss: 0.3218, Accuracy: 88.73%, Time: 2.45 seconds
Epoch [19/100], Loss: 0.3349, Accuracy: 88.08%, Time: 2.47 seconds
Epoch [20/100], Loss: 0.3129, Accuracy: 88.93%, Time: 2.48 seconds
Epoch [21/100], Loss: 0.2848, Accuracy: 89.94%, Time: 2.51 seconds
Epoch [22/100], Loss: 0.2793, Accuracy: 90.10%, Time: 2.45 seconds
Epoch [23/100], Loss: 0.2354, Accuracy: 91.79%, Time: 2.48 seconds
Epoch [24/100], Loss: 0.2102, Accuracy: 92.66%, Time: 2.49 seconds
Epoch [25/100], Loss: 0.2094, Accuracy: 92.56%, Time: 2.48 seconds
Epoch [26/100], Loss: 0.1768, Accuracy: 93.93%, Time: 2.45 seconds
Epoch [27/100], Loss: 0.2176, Accuracy: 92.19%, Time: 2.51 seconds
Epoch [28/100], Loss: 0.1772, Accuracy: 93.85%, Time: 2.47 seconds
Epoch [29/100], Loss: 0.2062, Accuracy: 92.79%, Time: 2.49 seconds
Epoch [30/100], Loss: 0.1759, Accuracy: 93.92%, Time: 2.46 seconds
Epoch [31/100], Loss: 0.1470, Accuracy: 94.96%, Time: 2.53 seconds
Epoch [32/100], Loss: 0.1227, Accuracy: 95.71%, Time: 2.45 seconds
Epoch [33/100], Loss: 0.1013, Accuracy: 96.55%, Time: 2.59 seconds
Epoch [34/100], Loss: 0.1016, Accuracy: 96.72%, Time: 2.45 seconds
Epoch [35/100], Loss: 0.1542, Accuracy: 94.63%, Time: 2.50 seconds
Epoch [36/100], Loss: 0.1329, Accuracy: 95.44%, Time: 2.46 seconds
Epoch [37/100], Loss: 0.1316, Accuracy: 95.44%, Time: 2.50 seconds
Epoch [38/100], Loss: 0.1071, Accuracy: 96.26%, Time: 2.48 seconds
Epoch [39/100], Loss: 0.0744, Accuracy: 97.63%, Time: 2.49 seconds
Epoch [40/100], Loss: 0.1018, Accuracy: 96.47%, Time: 2.46 seconds
Epoch [41/100], Loss: 0.0968, Accuracy: 96.86%, Time: 2.51 seconds
Epoch [42/100], Loss: 0.1122, Accuracy: 96.08%, Time: 2.47 seconds
Epoch [43/100], Loss: 0.1036, Accuracy: 96.62%, Time: 2.48 seconds
Epoch [44/100], Loss: 0.1109, Accuracy: 96.44%, Time: 2.44 seconds
Epoch [45/100], Loss: 0.1368, Accuracy: 95.21%, Time: 2.50 seconds
Epoch [46/100], Loss: 0.0953, Accuracy: 96.76%, Time: 2.46 seconds
Epoch [47/100], Loss: 0.0902, Accuracy: 96.98%, Time: 2.64 seconds
Epoch [48/100], Loss: 0.0960, Accuracy: 96.82%, Time: 2.49 seconds
Epoch [49/100], Loss: 0.0810, Accuracy: 97.27%, Time: 2.45 seconds
Epoch [50/100], Loss: 0.0516, Accuracy: 98.45%, Time: 2.46 seconds
Epoch [51/100], Loss: 0.0497, Accuracy: 98.47%, Time: 2.51 seconds
Epoch [52/100], Loss: 0.0476, Accuracy: 98.55%, Time: 2.47 seconds
Epoch [53/100], Loss: 0.0744, Accuracy: 97.48%, Time: 2.48 seconds
Epoch [54/100], Loss: 0.0731, Accuracy: 97.51%, Time: 2.52 seconds
Epoch [55/100], Loss: 0.0710, Accuracy: 97.81%, Time: 2.49 seconds
Epoch [56/100], Loss: 0.1423, Accuracy: 95.02%, Time: 2.47 seconds
Epoch [57/100], Loss: 0.0851, Accuracy: 97.21%, Time: 2.48 seconds
Epoch [58/100], Loss: 0.0869, Accuracy: 97.15%, Time: 2.50 seconds
Epoch [59/100], Loss: 0.0714, Accuracy: 97.76%, Time: 2.48 seconds
Epoch [60/100], Loss: 0.0775, Accuracy: 97.48%, Time: 2.44 seconds
Epoch [61/100], Loss: 0.0619, Accuracy: 98.00%, Time: 2.45 seconds
Epoch [62/100], Loss: 0.0540, Accuracy: 98.33%, Time: 2.57 seconds
Epoch [63/100], Loss: 0.0514, Accuracy: 98.42%, Time: 2.51 seconds
Epoch [64/100], Loss: 0.0671, Accuracy: 97.80%, Time: 2.44 seconds
Epoch [65/100], Loss: 0.1095, Accuracy: 96.32%, Time: 2.52 seconds
Epoch [66/100], Loss: 0.1100, Accuracy: 96.27%, Time: 2.54 seconds
Epoch [67/100], Loss: 0.0893, Accuracy: 96.90%, Time: 2.47 seconds
Epoch [68/100], Loss: 0.0399, Accuracy: 98.83%, Time: 2.47 seconds
Epoch [69/100], Loss: 0.0377, Accuracy: 98.88%, Time: 2.52 seconds
Epoch [70/100], Loss: 0.0318, Accuracy: 99.13%, Time: 2.56 seconds
Epoch [71/100], Loss: 0.0469, Accuracy: 98.66%, Time: 2.49 seconds
Epoch [72/100], Loss: 0.0911, Accuracy: 96.91%, Time: 2.47 seconds
Epoch [73/100], Loss: 0.0668, Accuracy: 97.81%, Time: 2.48 seconds
Epoch [74/100], Loss: 0.0599, Accuracy: 97.99%, Time: 2.46 seconds
Epoch [75/100], Loss: 0.0363, Accuracy: 98.96%, Time: 2.45 seconds
Epoch [76/100], Loss: 0.0178, Accuracy: 99.61%, Time: 2.56 seconds
Epoch [77/100], Loss: 0.0210, Accuracy: 99.48%, Time: 2.49 seconds
Epoch [78/100], Loss: 0.0277, Accuracy: 99.28%, Time: 2.46 seconds
Epoch [79/100], Loss: 0.0818, Accuracy: 97.25%, Time: 2.69 seconds
Epoch [80/100], Loss: 0.0844, Accuracy: 97.09%, Time: 2.50 seconds
Epoch [81/100], Loss: 0.0548, Accuracy: 98.38%, Time: 2.50 seconds
Epoch [82/100], Loss: 0.1128, Accuracy: 96.31%, Time: 2.56 seconds
Epoch [83/100], Loss: 0.1478, Accuracy: 94.86%, Time: 2.44 seconds
Epoch [84/100], Loss: 0.0669, Accuracy: 97.89%, Time: 2.45 seconds
Epoch [85/100], Loss: 0.0447, Accuracy: 98.80%, Time: 2.46 seconds
Epoch [86/100], Loss: 0.0872, Accuracy: 97.13%, Time: 2.60 seconds
Epoch [87/100], Loss: 0.0791, Accuracy: 97.33%, Time: 2.49 seconds
Epoch [88/100], Loss: 0.0640, Accuracy: 98.09%, Time: 2.46 seconds
Epoch [89/100], Loss: 0.0778, Accuracy: 97.34%, Time: 2.66 seconds
Epoch [90/100], Loss: 0.0385, Accuracy: 98.74%, Time: 2.53 seconds
Epoch [91/100], Loss: 0.0223, Accuracy: 99.43%, Time: 2.50 seconds
Epoch [92/100], Loss: 0.0246, Accuracy: 99.42%, Time: 2.44 seconds
Epoch [93/100], Loss: 0.0526, Accuracy: 98.32%, Time: 2.51 seconds
Epoch [94/100], Loss: 0.0638, Accuracy: 97.99%, Time: 2.65 seconds
