Epoch [1/100], Loss: 1.4121, Accuracy: 48.07%, Time: 9.79 seconds
Epoch [2/100], Loss: 0.9688, Accuracy: 65.70%, Time: 5.41 seconds
Epoch [3/100], Loss: 0.7667, Accuracy: 72.98%, Time: 5.44 seconds
Epoch [4/100], Loss: 0.6382, Accuracy: 77.84%, Time: 5.55 seconds
Epoch [5/100], Loss: 0.5601, Accuracy: 80.41%, Time: 5.36 seconds
Epoch [6/100], Loss: 0.4912, Accuracy: 82.95%, Time: 5.40 seconds
Epoch [7/100], Loss: 0.4330, Accuracy: 84.82%, Time: 5.48 seconds
Epoch [8/100], Loss: 0.3818, Accuracy: 86.85%, Time: 5.39 seconds
Epoch [9/100], Loss: 0.3352, Accuracy: 88.26%, Time: 5.37 seconds
Epoch [10/100], Loss: 0.2976, Accuracy: 89.65%, Time: 5.54 seconds
Epoch [11/100], Loss: 0.2623, Accuracy: 90.78%, Time: 5.33 seconds
Epoch [12/100], Loss: 0.2304, Accuracy: 91.91%, Time: 5.40 seconds
Epoch [13/100], Loss: 0.2004, Accuracy: 92.99%, Time: 5.34 seconds
Epoch [14/100], Loss: 0.1743, Accuracy: 93.77%, Time: 5.47 seconds
Epoch [15/100], Loss: 0.1550, Accuracy: 94.57%, Time: 5.47 seconds
Epoch [16/100], Loss: 0.1313, Accuracy: 95.42%, Time: 5.46 seconds
Epoch [17/100], Loss: 0.1278, Accuracy: 95.52%, Time: 5.43 seconds
Epoch [18/100], Loss: 0.1209, Accuracy: 95.70%, Time: 5.40 seconds
Epoch [19/100], Loss: 0.1152, Accuracy: 95.94%, Time: 5.40 seconds
Epoch [20/100], Loss: 0.0858, Accuracy: 97.07%, Time: 5.47 seconds
Epoch [21/100], Loss: 0.0851, Accuracy: 97.05%, Time: 5.55 seconds
Epoch [22/100], Loss: 0.0794, Accuracy: 97.17%, Time: 5.39 seconds
Epoch [23/100], Loss: 0.0718, Accuracy: 97.51%, Time: 5.51 seconds
Epoch [24/100], Loss: 0.0699, Accuracy: 97.52%, Time: 5.33 seconds
Epoch [25/100], Loss: 0.0671, Accuracy: 97.65%, Time: 5.15 seconds
Epoch [26/100], Loss: 0.0721, Accuracy: 97.48%, Time: 5.19 seconds
Epoch [27/100], Loss: 0.0410, Accuracy: 98.57%, Time: 5.45 seconds
Epoch [28/100], Loss: 0.0678, Accuracy: 97.65%, Time: 5.49 seconds
Epoch [29/100], Loss: 0.0558, Accuracy: 98.04%, Time: 5.52 seconds
Epoch [30/100], Loss: 0.0570, Accuracy: 98.06%, Time: 5.36 seconds
Epoch [31/100], Loss: 0.0450, Accuracy: 98.49%, Time: 5.16 seconds
Epoch [32/100], Loss: 0.0550, Accuracy: 98.11%, Time: 5.34 seconds
Epoch [33/100], Loss: 0.0428, Accuracy: 98.58%, Time: 5.32 seconds
Epoch [34/100], Loss: 0.0517, Accuracy: 98.17%, Time: 5.35 seconds
Epoch [35/100], Loss: 0.0512, Accuracy: 98.27%, Time: 5.35 seconds
Epoch [36/100], Loss: 0.0515, Accuracy: 98.21%, Time: 5.37 seconds
Epoch [37/100], Loss: 0.0371, Accuracy: 98.73%, Time: 5.23 seconds
Epoch [38/100], Loss: 0.0314, Accuracy: 98.95%, Time: 5.26 seconds
Epoch [39/100], Loss: 0.0309, Accuracy: 98.98%, Time: 5.42 seconds
Epoch [40/100], Loss: 0.0483, Accuracy: 98.32%, Time: 5.44 seconds
Epoch [41/100], Loss: 0.0486, Accuracy: 98.28%, Time: 5.48 seconds
Epoch [42/100], Loss: 0.0419, Accuracy: 98.53%, Time: 5.43 seconds
Epoch [43/100], Loss: 0.0385, Accuracy: 98.64%, Time: 5.53 seconds
Epoch [44/100], Loss: 0.0304, Accuracy: 98.98%, Time: 5.50 seconds
Epoch [45/100], Loss: 0.0359, Accuracy: 98.73%, Time: 5.30 seconds
Epoch [46/100], Loss: 0.0304, Accuracy: 98.97%, Time: 5.47 seconds
Epoch [47/100], Loss: 0.0239, Accuracy: 99.19%, Time: 5.53 seconds
Epoch [48/100], Loss: 0.0314, Accuracy: 98.88%, Time: 5.39 seconds
Epoch [49/100], Loss: 0.0453, Accuracy: 98.38%, Time: 5.30 seconds
Epoch [50/100], Loss: 0.0313, Accuracy: 98.90%, Time: 5.43 seconds
Epoch [51/100], Loss: 0.0253, Accuracy: 99.16%, Time: 5.53 seconds
Epoch [52/100], Loss: 0.0393, Accuracy: 98.61%, Time: 5.46 seconds
Epoch [53/100], Loss: 0.0392, Accuracy: 98.68%, Time: 5.50 seconds
Epoch [54/100], Loss: 0.0231, Accuracy: 99.25%, Time: 5.49 seconds
Epoch [55/100], Loss: 0.0213, Accuracy: 99.26%, Time: 5.45 seconds
Epoch [56/100], Loss: 0.0285, Accuracy: 99.02%, Time: 5.43 seconds
Epoch [57/100], Loss: 0.0349, Accuracy: 98.76%, Time: 5.46 seconds
Epoch [58/100], Loss: 0.0415, Accuracy: 98.54%, Time: 5.42 seconds
Epoch [59/100], Loss: 0.0237, Accuracy: 99.23%, Time: 5.45 seconds
Epoch [60/100], Loss: 0.0170, Accuracy: 99.46%, Time: 5.41 seconds
Epoch [61/100], Loss: 0.0136, Accuracy: 99.56%, Time: 5.48 seconds
Epoch [62/100], Loss: 0.0255, Accuracy: 99.14%, Time: 5.46 seconds
Epoch [63/100], Loss: 0.0481, Accuracy: 98.33%, Time: 5.44 seconds
Epoch [64/100], Loss: 0.0328, Accuracy: 98.85%, Time: 5.52 seconds
Epoch [65/100], Loss: 0.0176, Accuracy: 99.42%, Time: 5.56 seconds
Epoch [66/100], Loss: 0.0080, Accuracy: 99.76%, Time: 5.50 seconds
Epoch [67/100], Loss: 0.0140, Accuracy: 99.51%, Time: 5.54 seconds
Epoch [68/100], Loss: 0.0450, Accuracy: 98.48%, Time: 5.34 seconds
Epoch [69/100], Loss: 0.0326, Accuracy: 98.84%, Time: 5.42 seconds
Epoch [70/100], Loss: 0.0196, Accuracy: 99.33%, Time: 5.42 seconds
Epoch [71/100], Loss: 0.0170, Accuracy: 99.43%, Time: 5.47 seconds
Epoch [72/100], Loss: 0.0086, Accuracy: 99.74%, Time: 5.39 seconds
Epoch [73/100], Loss: 0.0140, Accuracy: 99.52%, Time: 5.22 seconds
Epoch [74/100], Loss: 0.0397, Accuracy: 98.63%, Time: 5.48 seconds
Epoch [75/100], Loss: 0.0280, Accuracy: 99.03%, Time: 5.51 seconds
Epoch [76/100], Loss: 0.0217, Accuracy: 99.22%, Time: 5.51 seconds
Epoch [77/100], Loss: 0.0120, Accuracy: 99.62%, Time: 5.49 seconds
Epoch [78/100], Loss: 0.0136, Accuracy: 99.56%, Time: 5.43 seconds
Epoch [79/100], Loss: 0.0265, Accuracy: 99.08%, Time: 5.36 seconds
Epoch [80/100], Loss: 0.0266, Accuracy: 99.11%, Time: 5.19 seconds
Epoch [81/100], Loss: 0.0262, Accuracy: 99.06%, Time: 5.47 seconds
Epoch [82/100], Loss: 0.0210, Accuracy: 99.27%, Time: 5.45 seconds
Epoch [83/100], Loss: 0.0171, Accuracy: 99.40%, Time: 5.43 seconds
Epoch [84/100], Loss: 0.0100, Accuracy: 99.65%, Time: 5.44 seconds
Epoch [85/100], Loss: 0.0088, Accuracy: 99.74%, Time: 5.39 seconds
Epoch [86/100], Loss: 0.0180, Accuracy: 99.39%, Time: 5.41 seconds
Epoch [87/100], Loss: 0.0306, Accuracy: 98.97%, Time: 5.54 seconds
Epoch [88/100], Loss: 0.0355, Accuracy: 98.79%, Time: 5.50 seconds
Epoch [89/100], Loss: 0.0166, Accuracy: 99.44%, Time: 5.48 seconds
Epoch [90/100], Loss: 0.0098, Accuracy: 99.68%, Time: 5.53 seconds
Epoch [91/100], Loss: 0.0070, Accuracy: 99.78%, Time: 5.47 seconds
Epoch [92/100], Loss: 0.0041, Accuracy: 99.89%, Time: 5.43 seconds
Epoch [93/100], Loss: 0.0029, Accuracy: 99.94%, Time: 5.51 seconds
Epoch [94/100], Loss: 0.0106, Accuracy: 99.69%, Time: 5.54 seconds
Epoch [95/100], Loss: 0.0739, Accuracy: 97.62%, Time: 5.43 seconds
Epoch [96/100], Loss: 0.0143, Accuracy: 99.54%, Time: 5.31 seconds
Epoch [97/100], Loss: 0.0075, Accuracy: 99.78%, Time: 5.49 seconds
Epoch [98/100], Loss: 0.0031, Accuracy: 99.93%, Time: 5.50 seconds
Epoch [99/100], Loss: 0.0119, Accuracy: 99.62%, Time: 5.32 seconds
Epoch [100/100], Loss: 0.0254, Accuracy: 99.14%, Time: 5.55 seconds
