Epoch 65, Loss: 0.42068518980232344, Accuracy: 85.658%, Duration: 8.02310824394226 seconds
Epoch 66, Loss: 0.4213915089207232, Accuracy: 85.62%, Duration: 8.15215253829956 seconds
Epoch 67, Loss: 0.41382316597129987, Accuracy: 85.794%, Duration: 8.098482131958008 seconds
Epoch 68, Loss: 0.4156405859057556, Accuracy: 85.792%, Duration: 8.05510926246643 seconds
Epoch 69, Loss: 0.4158067214671913, Accuracy: 85.772%, Duration: 8.088934183120728 seconds
Epoch 70, Loss: 0.41439121797718964, Accuracy: 85.888%, Duration: 8.02585506439209 seconds
Epoch 71, Loss: 0.41683393324275153, Accuracy: 85.868%, Duration: 8.103726148605347 seconds
Epoch 72, Loss: 0.4097228761752853, Accuracy: 85.836%, Duration: 8.086743593215942 seconds
Epoch 73, Loss: 0.41048644601231643, Accuracy: 85.924%, Duration: 7.90473198890686 seconds
Epoch 74, Loss: 0.4144893363689828, Accuracy: 85.912%, Duration: 8.028932332992554 seconds
Epoch 75, Loss: 0.4137386690320261, Accuracy: 85.782%, Duration: 8.092258930206299 seconds
Epoch 76, Loss: 0.41963954993983366, Accuracy: 85.638%, Duration: 8.101342916488647 seconds
Epoch 77, Loss: 0.4157401892687658, Accuracy: 85.78%, Duration: 7.757092237472534 seconds
Epoch 78, Loss: 0.40794792988568623, Accuracy: 85.958%, Duration: 8.015897989273071 seconds
Epoch 79, Loss: 0.41420568781130757, Accuracy: 86.014%, Duration: 7.82928466796875 seconds
Epoch 80, Loss: 0.4043103095972934, Accuracy: 86.258%, Duration: 7.755657434463501 seconds
Epoch 81, Loss: 0.4113710211670917, Accuracy: 86.082%, Duration: 8.6395263671875 seconds
Epoch 82, Loss: 0.41406102730032734, Accuracy: 85.712%, Duration: 8.04640793800354 seconds
Epoch 83, Loss: 0.4064280437234113, Accuracy: 85.978%, Duration: 8.067203521728516 seconds
Epoch 84, Loss: 0.4092927077008635, Accuracy: 85.98%, Duration: 8.103776216506958 seconds
Epoch 85, Loss: 0.4103169869964995, Accuracy: 86.068%, Duration: 8.014912366867065 seconds
Epoch 86, Loss: 0.4115103555609808, Accuracy: 86.004%, Duration: 7.777284383773804 seconds
Epoch 87, Loss: 0.4023076457440701, Accuracy: 86.354%, Duration: 7.945043325424194 seconds
Epoch 88, Loss: 0.40754870445374636, Accuracy: 86.174%, Duration: 8.055393695831299 seconds
Epoch 89, Loss: 0.4122621172376911, Accuracy: 85.87%, Duration: 8.100072860717773 seconds
Epoch 90, Loss: 0.40338169453698963, Accuracy: 86.204%, Duration: 7.823740482330322 seconds
Epoch 91, Loss: 0.4083180117332722, Accuracy: 86.078%, Duration: 8.07732892036438 seconds
Epoch 92, Loss: 0.40486301435991323, Accuracy: 86.072%, Duration: 8.119329929351807 seconds
Epoch 93, Loss: 0.4063989834102523, Accuracy: 86.092%, Duration: 7.86289119720459 seconds
Epoch 94, Loss: 0.40144297065179974, Accuracy: 86.212%, Duration: 8.046008586883545 seconds
Epoch 95, Loss: 0.40170293752952, Accuracy: 86.302%, Duration: 8.079257011413574 seconds
Epoch 96, Loss: 0.4017411544728462, Accuracy: 86.242%, Duration: 7.826634168624878 seconds
Epoch 97, Loss: 0.39953840811691627, Accuracy: 86.324%, Duration: 8.085054397583008 seconds
Epoch 98, Loss: 0.4008534879559446, Accuracy: 86.252%, Duration: 8.251916885375977 seconds
Epoch 99, Loss: 0.39919410036195574, Accuracy: 86.454%, Duration: 8.2538480758667 seconds
Epoch 100, Loss: 0.39817744672603317, Accuracy: 86.376%, Duration: 8.271329402923584 seconds
